TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,CustomerAgeGroup,Cluster
14.09,Debit,San Diego,ATM,70,Doctor,81.0,1,5112.21,Senior,0
376.24,Debit,Houston,ATM,68,Doctor,141.0,1,13758.91,Senior,0
126.29,Debit,Mesa,Online,19,Student,56.0,1,1122.35,Teenager,1
184.5,Debit,Raleigh,Online,26,Student,25.000000000000004,1,8569.06,Adult,1
13.45,Credit,Atlanta,Online,26,Student,198.0,1,7429.4,Adult,1
92.15,Debit,Oklahoma City,ATM,18,Student,172.0,1,781.68,Teenager,1
7.08,Credit,Seattle,ATM,37,Doctor,139.0,1,13316.71,Adult,1
171.42,Credit,Indianapolis,Branch,67,Retired,291.0,1,2796.24,Senior,0
106.23,Credit,Detroit,Branch,51,Engineer,86.0,1,9095.14,Middle-aged,0
815.96,Debit,Nashville,ATM,55,Doctor,120.0,1,1021.8800000000001,Middle-aged,0
17.78,Credit,Albuquerque,Online,52,Engineer,59.00000000000001,1,7599.5199999999995,Middle-aged,0
190.02,Debit,Memphis,Online,21,Student,173.0,1,1528.81,Teenager,1
494.52,Credit,Mesa,Branch,24,Student,111.0,1,1620.02,Teenager,1
781.76,Debit,Memphis,ATM,26,Student,123.0,1,189.69,Adult,1
166.99,Debit,Louisville,Online,18,Student,134.0,1,299.93,Teenager,1
465.45,Debit,Denver,ATM,36,Engineer,129.0,1,3465.54,Adult,1
555.8,Credit,Austin,Branch,19,Student,158.0,1,1131.26,Teenager,1
492.93,Debit,Columbus,Online,39,Engineer,234.0,1,5109.97,Adult,1
18.68,Credit,Albuquerque,Branch,59,Retired,106.0,1,7948.369999999999,Middle-aged,0
71.48,Credit,Columbus,Online,18,Student,169.0,1,6568.59,Teenager,1
59.32,Debit,Los Angeles,Branch,71,Retired,37.99999999999999,1,5750.89,Senior,0
85.77,Debit,Las Vegas,Branch,38,Doctor,93.0,1,9146.19,Adult,1
52.2,Debit,Atlanta,Online,39,Engineer,120.0,1,8974.93,Adult,1
345.84,Debit,Fort Worth,Online,22,Student,142.0,3,1402.5,Teenager,1
145.54,Debit,Raleigh,Online,21,Student,96.0,1,1930.96,Teenager,1
7.49,Credit,Houston,Online,65,Retired,276.0,1,3634.67,Senior,0
246.93,Debit,Miami,ATM,23,Student,158.0,5,673.3499999999999,Teenager,1
40.32,Debit,Milwaukee,Branch,37,Engineer,95.0,1,2686.52,Adult,1
127.45,Debit,Las Vegas,Online,44,Doctor,197.0,1,1772.06,Adult,1
56.17,Debit,Detroit,Branch,27,Student,283.0,1,1351.69,Adult,1
28.31,Credit,Miami,Online,59,Doctor,20.0,1,8334.47,Middle-aged,0
59.12,Debit,Baltimore,ATM,29,Doctor,257.0,1,9823.64,Adult,1
